Altium Designer Pick and Place Locations
C:\Users\90542\Documents\Altium Designer\Motion Detector PCB\Project Outputs for Motion Detector PCB\Pick Place\Pick Place for Motion Detector PCB.txt

========================================================================================================================
File Design Information:

Date:       30-06-23
Time:       19:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint         Center-X(mil) Center-Y(mil) Rotation Description                                                                                         
X2         ECS-160-20-30B-TR   TopLayer    ECS               1820.125      1759.621      45       "CRYSTAL 16.0000MHZ 20PF SMD"                                                                       
X1         ABS05-32.768KHZ-T   TopLayer    ABS05             1683.071      1202.756      90       "Crystal, 32.768 kHz, SMD, 1.6mm x 1mm, 12.5 pF, 20 ppm, ABS05 Series"                              
USB1       10118192-0001LF     TopLayer    MICRO_B_USB       2155.512      187.992       0        "CONN RCPT USB2.0 MICRO B SMD R/A"                                                                  
U9         OPA314AIDBVR        BottomLayer SOT23-5           3255.905      167.323       0        "Op Amp OPA314"                                                                                     
U8         NCS36000DRG         BottomLayer SOIC14            3145.669      763.780       180      "PIR Controller Low Noise Amplifiers and LDO Regulator 14-Pin SOIC N T/R"                           
U7         ESP32-WROOM-32      TopLayer    ESP32-32          708.465       651.575       90       "SMD MODULE, ESP32-D0WDQ6, 32MBIT"                                                                  
U6         STM32F103C6T6A      TopLayer    LQFP-48           2196.850      1736.220      270      "MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP Tray"                        
U5         USBLC6-2SC6         TopLayer    SOT23-6L          2167.000      433.760       270      "TVS DIODE 5.25V 17V SOT23-6"                                                                       
U4         M41T00M6F           TopLayer    SOIC8             1856.299      1151.575      270      "IC RTC CLK/CALENDAR I2C 8-SOIC"                                                                    
U3         MAX6662             TopLayer    SOIC8             2399.606      1090.551      270      "SENSOR TEMPERATURE SPI 8SOIC"                                                                      
U2         LM2675MX-12/NOPB    TopLayer    SOIC8             1031.496      1513.779      90       "Switching Voltage Regulators Pwr Cnvtr Hi Eff 1A SD Vtg Reg"                                       
U1         AP7361-33E-13       TopLayer    SOT223            1440.945      1812.992      0        "LDO Regulator Pos 3.3V 1A 4-Pin(3+Tab) SOT-223 T/R"                                                
T1         BV302S12010-ZU      TopLayer    BV302S            1141.732      2929.134      0        "230-12 Transformer 1VA"                                                                            
SW1        EG1215AA            TopLayer    EG1215AA          948.819       97.441        0        "Slide Switch, SPDT, 0.025A, 24V, SMD"                                                              
S1         "LHI 878/3902"      TopLayer    LHI_878           3224.410      1043.307      0        "SENSOR PYRO DETECTOR DUAL MOTION"                                                                  
RT1        TFPT1206L1002FM     BottomLayer RES_1206          3259.843      316.929       0        "Thermistor PTC 10K Ohm 1% 1206"                                                                    
RL2        ALQ112              TopLayer    ALQ112            2582.284      3157.480      90       "General Purpose Relay SPDT (1 Form C) 12VDC Coil Through Hole"                                     
RL1        ALQ112              TopLayer    ALQ112            2072.835      3159.449      90       "General Purpose Relay SPDT (1 Form C) 12VDC Coil Through Hole"                                     
R37        RC0603FR-0710KL     BottomLayer RES_0603          3234.252      253.937       180      "RES 10K %1 OHM 0603 SMD"                                                                           
R36        RC0603JR-07220KL    BottomLayer RES_0603          3141.606      290.693       90       "RES 220K %5 OHM 0603 SMD"                                                                          
R35        RC0603FR-0710KL     BottomLayer RES_0603          3149.606      167.319       90       "RES 1K %1 OHM 0603 SMD"                                                                            
R34        RC0603JR-07220KL    BottomLayer RES_0603          3092.394      290.693       90       "RES 220K %5 OHM 0603 SMD"                                                                          
R33        RC0603JR-0743KL     BottomLayer RES_0603          3340.000      645.500       90       "RES 43K %5 OHM 0603 SMD"                                                                           
R32        RC0603FR-0710KL     BottomLayer RES_0603          3550.000      650.000       270      "RES 10K %1 OHM 0603 SMD"                                                                           
R31        RC0603JR-070RL      BottomLayer RES_0603          2933.067      751.969       0        "RES 0 %1 OHM 0603 SMD"                                                                             
R30        RC0603JR-070RL      BottomLayer RES_0603          2933.067      799.213       0        "RES 0 %1 OHM 0603 SMD"                                                                             
R29        RC0603FR-0710KL     TopLayer    RES_0603          3256.500      388.000       0        "RES 1K %1 OHM 0603 SMD"                                                                            
R28        RC0603FR-0710KL     BottomLayer RES_0603          2862.075      676.175       90       "RES 1K %1 OHM 0603 SMD"                                                                            
R27        RC0603JR-07560KL    BottomLayer RES_0603          3342.000      763.500       90       "RES SMD 560K OHM 5% 1/10W 0603"                                                                    
R26        RC0603JR-07220KL    BottomLayer RES_0603          2968.504      881.886       90       "RES 220K %5 OHM 0603 SMD"                                                                          
R25        RC0603JR-07100RL    TopLayer    RES_0603          3253.500      601.000       0        "RES 100 %5 OHM 0603 SMD"                                                                           
R24        RC0603FR-0710KL     BottomLayer RES_0603          3413.386      881.886       270      "RES 10K %1 OHM 0603 SMD"                                                                           
R23        RC0603JR-07560KL    BottomLayer RES_0603          3311.023      881.886       90       "RES SMD 560K OHM 5% 1/10W 0603"                                                                    
R22        RC0603JR-07100RL    TopLayer    RES_0603          691.750       189.750       270      "RES 100 %5 OHM 0603 SMD"                                                                           
R21        RC0603FR-0710KL     TopLayer    RES_0603          464.567       198.819       90       "RES 1K %1 OHM 0603 SMD"                                                                            
R20        RC0603JR-074K7L     TopLayer    RES_0603          2094.500      1045.000      270      "RES 4K7 %5 OHM 0603 SMD"                                                                           
R19        RC0603JR-074K7L     TopLayer    RES_0603          2094.500      1158.000      90       "RES 4K7 %5 OHM 0603 SMD"                                                                           
R18        RC0603JR-07100RL    TopLayer    RES_0603          2094.226      2053.774      315      "RES 100 %5 OHM 0603 SMD"                                                                           
R17        RC0603JR-07100RL    TopLayer    RES_0603          2515.500      1667.323      0        "RES 100 %5 OHM 0603 SMD"                                                                           
R16        RC0603JR-07100RL    TopLayer    RES_0603          1864.169      1505.000      0        "RES 100 %5 OHM 0603 SMD"                                                                           
R15        RC0603JR-07100RL    TopLayer    RES_0603          2244.095      1383.854      270      "RES 100 %5 OHM 0603 SMD"                                                                           
R14        RC0603JR-0715RL     TopLayer    RES_0603          2490.500      1799.500      0        "RES 15 %5 OHM 0603 SMD"                                                                            
R13        RC0603JR-0715RL     TopLayer    RES_0603          2490.500      1751.500      0        "RES 15 %5 OHM 0603 SMD"                                                                            
R12        RC0603JR-07100RL    TopLayer    RES_0603          637.000       1267.500      270      "RES 100 %5 OHM 0603 SMD"                                                                           
R11        RC0603JR-07100RL    TopLayer    RES_0603          2616.138      1015.748      180      "RES 100 %5 OHM 0603 SMD"                                                                           
R10        RC0603JR-07100RL    TopLayer    RES_0603          2084.646      1383.854      270      "RES 100 %5 OHM 0603 SMD"                                                                           
R9         RC0603JR-07100RL    TopLayer    RES_0603          2190.945      1383.854      270      "RES 100 %5 OHM 0603 SMD"                                                                           
R8         RC0603JR-07100RL    TopLayer    RES_0603          2139.764      1383.854      270      "RES 100 %5 OHM 0603 SMD"                                                                           
R7         RC0603FR-0710KL     TopLayer    RES_0603          2385.827      2657.480      270      "RES 10K %1 OHM 0603 SMD"                                                                           
R6         RC0603FR-0710KL     TopLayer    RES_0603          2284.500      2661.500      90       "RES 10K %1 OHM 0603 SMD"                                                                           
R5         RC0603FR-0710KL     TopLayer    RES_0603          2472.441      2559.055      0        "RES 1K %1 OHM 0603 SMD"                                                                            
